SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SUB_POPULATION,GRADE,FSA_SKILL_CODE,NUMBER_EXPECTED_WRITERS,NUMBER_WRITERS,NUMBER_UNKNOWN,NUMBER_EMERGING,NUMBER_ONTRACK,NUMBER_EXTENDING,SCORE
2007,District Level,BC Public School,62,Sooke,Non Indigenous,4,Numeracy,499,464,10,10,335,10,484.7435
2007,District Level,BC Public School,62,Sooke,Diverse Abilities,4,Numeracy,55,30,23,10,14,10,492.4333
2007,District Level,BC Public School,62,Sooke,Non Diverse Abilities,4,Numeracy,541,514,10,10,368,10,480.7879
2007,District Level,BC Public School,63,Saanich,All Students,4,Numeracy,503,487,15,65,331,91,521.5277
2007,District Level,BC Public School,63,Saanich,Indigenous,4,Numeracy,40,38,5,5,22,5,469.0263
2007,District Level,BC Public School,63,Saanich,Non Indigenous,4,Numeracy,463,449,10,10,309,10,525.971
2007,District Level,BC Public School,63,Saanich,Diverse Abilities,4,Numeracy,51,45,10,10,20,10,496.1333
2007,District Level,BC Public School,63,Saanich,Non Diverse Abilities,4,Numeracy,452,442,10,10,311,10,524.1131
2007,District Level,BC Public School,64,Gulf Islands,All Students,4,Numeracy,119,97,10,10,63,10,469.6598
2007,District Level,BC Public School,64,Gulf Islands,Indigenous,4,Numeracy,16,13,5,5,10,5,449.6154
2007,District Level,BC Public School,64,Gulf Islands,Non Indigenous,4,Numeracy,103,84,10,10,53,10,472.7619
2007,District Level,BC Public School,64,Gulf Islands,Diverse Abilities,4,Numeracy,22,15,5,5,5,5,448.4
2007,District Level,BC Public School,64,Gulf Islands,Non Diverse Abilities,4,Numeracy,97,82,10,10,10,10,473.5488
2007,District Level,BC Public School,67,Okanagan Skaha,All Students,4,Numeracy,412,359,52,63,236,60,507.4624
2007,District Level,BC Public School,67,Okanagan Skaha,Indigenous,4,Numeracy,70,60,10,10,37,10,486.7167
2007,District Level,BC Public School,67,Okanagan Skaha,Non Indigenous,4,Numeracy,342,299,10,10,199,10,511.6254
2007,District Level,BC Public School,67,Okanagan Skaha,Diverse Abilities,4,Numeracy,73,38,34,10,24,10,541.3684
2007,District Level,BC Public School,67,Okanagan Skaha,Non Diverse Abilities,4,Numeracy,339,321,18,10,212,10,503.4486
2007,District Level,BC Public School,68,Nanaimo-Ladysmith,All Students,4,Numeracy,1016,906,104,294,560,52,453.9989
2007,District Level,BC Public School,68,Nanaimo-Ladysmith,Indigenous,4,Numeracy,200,155,10,10,81,10,423.8968
2007,District Level,BC Public School,68,Nanaimo-Ladysmith,Non Indigenous,4,Numeracy,816,751,10,10,479,10,460.2117
2007,District Level,BC Public School,68,Nanaimo-Ladysmith,Diverse Abilities,4,Numeracy,80,39,40,19,10,10,421.0769
2007,District Level,BC Public School,68,Nanaimo-Ladysmith,Non Diverse Abilities,4,Numeracy,936,867,10,10,542,10,455.4798
2007,District Level,BC Public School,69,Qualicum,All Students,4,Numeracy,336,293,10,10,199,10,467.7884
2007,District Level,BC Public School,69,Qualicum,Indigenous,4,Numeracy,47,39,5,5,27,5,453.4872
2007,District Level,BC Public School,69,Qualicum,Non Indigenous,4,Numeracy,289,254,10,10,172,10,469.9843
2007,District Level,BC Public School,69,Qualicum,Diverse Abilities,4,Numeracy,37,18,19,5,5,5,433.0556
2007,District Level,BC Public School,69,Qualicum,Non Diverse Abilities,4,Numeracy,299,275,22,10,10,10,470.0618
2007,District Level,BC Public School,70,Pacific Rim,All Students,4,Numeracy,258,236,10,10,159,10,459.0042
2007,District Level,BC Public School,70,Pacific Rim,Indigenous,4,Numeracy,76,65,10,10,35,10,430.0615
2007,District Level,BC Public School,70,Pacific Rim,Non Indigenous,4,Numeracy,182,171,10,10,124,10,470.0058
2007,District Level,BC Public School,70,Pacific Rim,Diverse Abilities,4,Numeracy,32,16,5,12,5,5,405.6875
2007,District Level,BC Public School,70,Pacific Rim,Non Diverse Abilities,4,Numeracy,226,220,10,57,10,10,462.8818
2007,District Level,BC Public School,71,Comox Valley,All Students,4,Numeracy,595,539,10,10,378,10,481.5863
2007,District Level,BC Public School,71,Comox Valley,Indigenous,4,Numeracy,102,89,10,10,57,10,436.4607
2007,District Level,BC Public School,71,Comox Valley,Non Indigenous,4,Numeracy,493,450,10,10,321,10,490.5111
2007,District Level,BC Public School,71,Comox Valley,Diverse Abilities,4,Numeracy,94,77,10,10,42,10,485
2007,District Level,BC Public School,71,Comox Valley,Non Diverse Abilities,4,Numeracy,501,462,10,10,336,10,481.0173
2007,District Level,BC Public School,72,Campbell River,All Students,4,Numeracy,418,360,57,130,200,30,452.1806
2007,District Level,BC Public School,72,Campbell River,Indigenous,4,Numeracy,96,83,10,10,10,10,425.4819
2007,District Level,BC Public School,72,Campbell River,Non Indigenous,4,Numeracy,322,277,10,10,160,10,460.1805
2007,District Level,BC Public School,72,Campbell River,Diverse Abilities,4,Numeracy,40,22,18,16,5,5,416.8636
2007,District Level,BC Public School,72,Campbell River,Non Diverse Abilities,4,Numeracy,378,338,39,114,10,10,454.4793
2007,District Level,BC Public School,73,Kamloops-Thompson,All Students,4,Numeracy,1076,1022,43,232,710,80,479.5342
2007,District Level,BC Public School,73,Kamloops-Thompson,Indigenous,4,Numeracy,227,209,16,66,132,11,446.9426
2007,District Level,BC Public School,73,Kamloops-Thompson,Non Indigenous,4,Numeracy,849,813,27,166,578,69,487.9127
